title,Chevalier_mentions,Espaillat_mentions,mention_score,top_250_words
Unidosus Launches National Economic Prosperity Agenda,0,1,1.0,"['economic', 'unidosus', 'national', 'prosperity', 'agenda', 'community', 'hispanic', 'latino', 'solutions', 'leaders', 'billion', 'american', 'million', 'latinos', 'including', 'families', 'housing', 'advocacy', 'years', 'organization', 'development', 'league', 'organizations', 'coalition', 'fair', 'skills', 'research', 'nation', 'communities', 'key', 'business', 'america', 'sectors', 'growing', 'association', 'la', 'approximately', 'challenges', 'jobs', 'initiative', 'shared', 'center', 'latin', 'annually', 'united', 'working', 'access', 'endorsing', 'worker', 'quality', 'workforce', 'el', 'expanding', 'workers', 'power', 'gdp', 'priorities', 'commerce', 'corporation', 'professionals', 'small', 'include', 'social', 'political', 'shape', 'federal', 'new', 'estate', 'entrepreneurship', 'opportunity', 'engagement', 'corporations', 'responsible', 'gathering', 'future', 'pacific', 'reality', 'real', 'ownership', 'debates', 'people', 'raza', 'council', 'raising', 'credit', 'pillars', 'encuentro', 'rights', 'rising', 'country', 'represent', 'deliver', 'nearly', 'closing', 'advancement', 'believe', 'barriers', 'labor', 'largest', 'assistance', 'asian', 'unity', 'alliance', 'aims', 'urban', 'launched', 'affordability', 'advance', 'boost', 'action', 'wage', '70', 'washington', 'march', 'lending', '30', '22', '2026', 'lulac', '17', '160', 'trillion', 'family', 'chamber', 'tax', 'centro', 'strengthening', 'citizens', 'campaign', 'civil', 'mobility', 'stability', 'building', 'minimum', 'networks', 'media', 'policymakers', 'picture', 'place', 'murgui', 'plaza', 'network', 'policy', 'midterms', 'nahrep', 'maintain', 'polling', 'philanthropy', 'nationwide', 'potentially', 'practical', 'long', 'ndez', 'practices', 'members', 'nonpartisan', 'memphis', 'nonprofits', 'outcomes', 'outlines', 'mission', 'owners', 'orange', 'models', 'parents', 'partner', 'present', 'ohio', 'ny', 'partnership', 'mujeres', 'partnerships', 'past', 'months', 'pathways', 'pay', 'movement', 'nonprofit', 'mi', 'payment', 'mentorship', 'midterm', 'middle', '000', 'president', 'shows', 'training', 'tools', 'today', 'threads', 'technical', 'sustained', 'supporting', 'supported', 'support', 'stronger', 'strengthen', 'strategy', 'strategies', 'story', 'states', 'starter', 'stage', 'spending', 'source', 'trajectory', 'trusted', 'truth', 'views', 'year', 'works', 'withrequest', 'widespread', 'wealth', 'voters', 'voice', 'visit', 'vida', 'underscores', 'various', 'values', 'valley', 'upward', 'unveiling', 'unite', 'unique', 'unidos', 'significant', 'sets', 'press', 'serves', 'rejection', 'reflecting', 'reducing', 'recently', 'rebuild', 'reaching', 'razor', 'races', 'puerto', 'public', 'providing', 'protected', 'promising', 'promise', 'progress', 'programs', 'process', 'prnewswire', 'priority']"
UnidosUS Launches National Economic Prosperity Agenda,0,1,1.0,"['economic', 'unidosus', 'prosperity', 'agenda', 'national', 'community', 'latino', 'million', 'solutions', 'american', 'leaders', 'billion', 'hispanic', 'including', 'families', 'advocacy', 'years', 'organization', 'latinos', 'nation', 'fair', 'organizations', 'development', 'business', 'key', 'america', 'housing', 'communities', 'skills', 'research', 'united', 'league', 'quality', 'sectors', 'latin', 'power', 'association', 'coalition', 'shared', 'endorsing', 'expanding', 'worker', 'challenges', 'growing', 'initiative', 'workers', 'access', 'gdp', 'working', 'rising', 'country', 'represent', 'corporations', 'nearly', 'jobs', 'responsible', 'rights', 'mobility', 'real', 'minimum', 'include', 'lulac', 'shape', 'civil', 'citizens', 'small', 'credit', 'la', 'debates', 'family', 'chamber', 'federal', 'labor', 'people', 'pacific', 'pillars', 'estate', 'march', 'engagement', 'ownership', 'future', 'encuentro', 'priorities', 'prnewswire', 'gathering', 'professionals', 'launched', 'new', 'deliver', 'political', 'reality', 'asian', '30', 'tax', 'affordability', 'believe', 'barriers', '70', 'byover', 'trillion', 'assistance', 'advance', 'workforce', 'urban', 'strengthening', 'campaign', 'aims', 'advancement', '160', 'centro', 'unity', '22', '2026', 'stability', 'annually', 'various', 'vida', 'nonpartisan', 'newswirebuilding', 'news', 'outcomes', 'nonprofit', 'partnershipcenter', 'networks', 'view', 'networkof', 'visitwww', 'nationwide', 'partner', 'nowraza', 'nonprofits', 'original', 'values', 'ny', 'ohioibero', 'parents', 'onfacebook', 'opportunity', 'unveiling', 'upward', 'opportunitythe', 'owners', 'outlines', 'organizationsso', 'orgor', 'social', 'mujeresbuilding', 'voice', 'workforceraising', 'maintain', 'long', 'local', 'livelihoods', 'live', 'literacy', 'linkedin', 'lendingclean', 'lending', 'media', 'leaving', 'learn', 'worksleague', 'www', 'xandthreads', 'year', 'leagueorange', 'leading', 'widespread', 'members', 'nahrep', 'wage', 'murguía', 'multimedia', 'voters', 'unite', 'movement', 'morehere', 'months', 'models', 'wageto', 'memphisla', 'washington', 'wealth', 'midterms', 'midterm', 'middle', 'mi', 'whereapproximately', 'mentorship', 'partnerships', 'payover', 'unique', 'supported', 'stronger', 'responds', 'respond', 'resource', 'researchshows', 'representing9', 'representation', 'support', 'rep', 'revenue', 'releases', 'supporting', 'relations', 'rejection', 'reflecting', 'reducing', 'sustained', 'recently', 'results', 'rico', 'past', 'segment', 'significant', 'spending', 'stage', 'starter', 'sets', 'states', 'serves', 'senator', 'securitythe', 'risking', 'strategies', 'sector', 'sat', 'said', 'strategy', 'strengthen', 'ruben', 'roughly', 'rebuild', 'leadership', 'reaching61', 'plaza', 'practices', 'practical', 'pr', 'trajectory', 'polling', 'trusted', 'policymakers', 'policy', 'place', 'razor', 'truth', 'underscores', 'picture']"
Jan. 6 plaque honoring police officers is now displayed at the Capitol after a 3-year delay,0,2,1.0,"['plaque', 'officers', 'capitol', 'said', 'day', 'police', 'congress', 'trump', 'lawsuit', 'people', 'law', 'hodges', 'installation', 'january', 'attack', 'new', 'senate', 'building', 'year', 'thousands', 'installed', 'jan', 'house', 'democrat', 'department', 'johnson', 'names', 'says', 'office', 'west', 'fifth', 'recognized', 'say', 'saturday', 'rep', 'espaillat', 'rioters', 'republican', 'responded', 'returned', 'democrats', 'recognize', 'york', 'floor', '2021', 'morelle', 'metropolitan', 'memories', 'nation', 'marker', 'loyal', 'listing', 'occurred', 'joe', 'fought', 'passed', 'install', 'injured', 'placed', 'continue', 'hours', 'history', 'gop', 'service', 'dunn', 'missing', 'tillis', 'violence', 'anniversary', 'steps', 'statute', 'committee', 'went', 'biden', 'called', 'years', 'threatened', 'using', 'violently', 'owe', 'page', 'pardoned', 'violent', 'past', 'president', 'persists', 'victory', 'vandalized', 'personnel', 'thom', 'unanimously', 'pirro', 'place', 'tried', 'overwhelmed', 'power', 'trapped', 'posted', 'post', 'told', 'pleased', 'visible', 'oversees', 'visitors', 'voted', 'mob', 'worthy', 'worst', 'workers', 'worker', 'near', 'work', 'nearby', 'witnessed', 'night', 'noem', 'object', 'weight', 'objections', 'week', 'way', 'washington', 'officer', 'war', 'offices', 'waffle', 'official', 'operations', 'original', 'outside', 'overnight', 'problems', 'press', 'silence', 'proposed', 'ruling', 'reported', 'reporter', 'sued', 'republicans', 'required', 'resolution', 'struggling', 'stronger', 'rewriting', 'stopped', 'robbert', 'role', 'stopgap', 'stolen', 'report', 'running', 'statement', 'spending', 'secure', 'sen', 'specific', 'senators', 'speaker', 'sent', 'sought', 'set', 'shooter', 'siege', 'mistake', 'replicas', 'sign', 'taking', 'tesla', 'protected', 'protest', 'psychic', 'publicly', 'push', 'pushed', 'tampering', 'putting', 'qr', 'quietly', 'read', 'real', 'rearview', 'repeatedly', 'recalls', 'recent', 'recognition', 'symbol', 'supporters', 'record', 'refusal', 'refuses', 'suggests', 'regained', 'remained', 'reminder', 'sues', 'prosecutions', '140', 'million', 'code', 'contributed', 'congressional', 'compounded', 'comply', 'compliance', 'company', 'commemorated', 'claims', 'control', 'claim', 'charged', 'chamber', 'certification', 'ceremony', 'central', 'case', 'contributor', 'criticized', 'mike', 'delayed', 'did', 'dhs', 'deserve', 'described', 'denies', 'democracy', 'delays', 'deflect', 'crowd', 'defensive', 'defended', 'defeated', 'deadline', 'days', 'daniel', 'crushed', 'cars', 'candidate', 'camera', 'adriano', 'approving', 'appears', 'angry', 'alternatives', 'allison', 'alleviate', 'agencies', 'administration', 'came', '___']"
UnidosUS Launches National Economic Prosperity Agenda,0,1,1.0,"['economic', 'unidosus', 'national', 'prosperity', 'agenda', 'community', 'latino', 'hispanic', 'leaders', 'million', 'billion', 'american', 'solutions', 'latinos', 'families', 'including', 'years', 'development', 'organizations', 'league', 'housing', 'advocacy', 'organization', 'coalition', 'communities', 'key', 'fair', 'nation', 'america', 'skills', 'business', 'research', 'shared', 'jobs', 'center', 'approximately', 'association', 'sectors', 'challenges', 'expanding', 'workers', 'power', 'workforce', 'annually', 'worker', 'gdp', 'united', 'latin', 'growing', 'quality', 'access', 'endorsing', 'el', 'la', 'initiative', 'working', 'raza', 'raising', 'real', 'corporations', 'reality', 'deliver', 'debates', 'responsible', 'credit', 'rights', 'corporation', 'council', 'rising', 'shape', 'country', 'include', 'encuentro', 'org', 'lending', 'lulac', 'march', 'launched', 'largest', 'labor', 'minimum', 'mobility', 'nearly', 'new', 'opportunity', 'gathering', 'engagement', 'ownership', 'future', 'people', 'pillars', 'federal', 'political', 'family', 'priorities', 'estate', 'professionals', 'entrepreneurship', 'pacific', 'represent', 'campaign', 'advancement', '70', 'washington', 'action', 'wage', 'asian', 'building', 'trillion', 'chamber', 'citizens', 'boost', 'strengthening', 'urban', 'unity', 'alliance', 'aims', 'advance', 'believe', 'assistance', 'civil', '2026', '160', 'affordability', '17', 'tax', 'barriers', 'small', 'centro', '22', '30', 'social', 'closing', 'commerce', 'stability', 'nonprofit', 'upward', 'nonprofits', 'ny', 'news', 'ohio', 'nonpartisan', 'shows', 'orange', 'unveiling', 'outcomes', 'outlines', 'unite', 'unique', 'valley', 'unidos', 'parents', 'partner', 'partnership', 'partnerships', 'past', 'owners', 'nahrep', 'networks', 'widespread', 'mi', 'mentorship', 'memphis', 'members', 'wealth', 'media', 'works', 'network', 'maintain', 'www', 'year', 'long', 'local', 'livelihoods', 'middle', 'midterm', 'midterms', 'voters', 'voice', 'mission', 'visit', 'models', 'months', 'movement', 'mujeres', 'murguía', 'pay', 'vida', 'various', 'nationwide', 'values', 'pathways', 'policymakers', 'payment', 'starter', 'respond', 'resource', 'states', 'representing', 'representation', 'literacy', 'rep', 'strategies', 'relations', 'rejection', 'reflecting', 'strategy', 'reducing', 'recently', 'rebuild', 'responds', 'stage', 'underscores', 'results', 'significant', 'sets', 'serves', 'senator', 'segment', 'security', 'sector', 'sat', 'said', 'ruben', 'roughly', 'risking', 'spending', 'rico', 'revenue', 'strengthen', 'reaching', 'razor', 'stronger', 'training', 'president', 'present', 'practices', 'practical', 'trajectory', 'potentially', 'trusted', 'polling', 'truth', 'policy', 'plaza', 'place', 'picture', 'philanthropy', 'tools', 'priority']"
"JAYAPAL, OMAR HOST HEARING ON TRUMP'S DEADLY ASSAULT ON MINNESOTA",0,1,1.0,"['mn', 'minnesota', 'trump', '04', 'said', 'community', 'administration', 'hearing', 'ice', 'jayapal', 'making', 'police', 'rights', 'agents', 'director', 'immigration', 'minnesotans', 'executive', 'ca', 'noem', 'ask', 'dhs', 'did', 'congressional', 'today', 'feel', 'assault', 'omar', 'time', 'clear', '05', 'lawlessness', 'kristi', 'country', 'kelly', 'actions', 'witnesses', 'federal', 'member', 'members', 'rep', 'shadow', 'series', 'deepinder', 'representatives', 'end', 'sixth', 'enforcement', 'department', 'disappeared', 'families', 'fear', 'continue', 'released', '01', 'focused', 'information', 'level', 'local', 'mayell', 'kidnapped', 'mayor', 'mccarthy', 'mccollum', 'md', 'joined', 'mendota', 'including', 'process', 'mubashir', 'needs', 'il', 'neighbors', 'hosted', 'heights', 'heard', 'oversight', 'patty', 'pramila', 'constitutional', 'safe', 'testimony', 'attack', 'wa', 'aclu', 'cities', 'campaign', 'betty', 'violence', 'terror', '12', 'chief', 'twin', 'tactics', 'conduct', '07', 'state', 'az', 'thank', 'colleagues', '06', '03', 'val', 'va', 'used', 'morrison', 'use', 'unprecedented', 'victimized', 'starts', 'observe', 'unlawful', 'nj', 'unidos', 'ny', 'villains', 'undermine', 'office', 'officer', 'tx', 'ondetention', 'operation', 'trust', 'operations', 'outside', 'moore', 'minnesotan', 'modern', 'mcclain', 'long', 'luz', 'ma', 'makes', 'worst', 'mary', 'matter', 'workplaces', 'workers', 'work', 'wi', 'welcome', 'way', 'vindicate', 'washington', 'want', 'walkinshaw', 'menendez', 'vt', 'metro', 'mi', 'min', 'minneapolis', 'traveling', 'violated', 'misconduct', 'overreach', 'paul', 'pa', 'students', 'ted', 'rivas', 'rob', 'lived', 'safer', 'surge', 'subjected', 'saint', 'scanlon', 'subcommittee', 'scared', 'schools', 'security', 'senators', 'retaliation', 'sense', 'stop', 'seven', 'status', 'sharing', 'simon', 'simply', 'slate', 'smith', 'solidarity', 'spread', 'stand', 'standing', 'right', 'tensions', 'paint', 'titled', 'panel', 'patrol', 'pattern', 'people', 'pingree', 'trauma', 'political', 'power', 'powerful', 'torn', 'precedent', 'tlaib', 'public', 'tina', 'representative', 'raise', 'ties', 'randall', 'ranking', 'rashida', 'rates', 'threatened', 'reason', 'reckless', 'reducing', 'reign', 'theater', 'relations', 'lives', 'james', 'lieu', 'care', 'council', 'corruption', 'cops', 'congress', 'collateral', 'clark', 'city', 'citizens', 'citizen', 'circumstances', 'chuy', 'chicago', 'chellie', 'charges', 'chapter', 'center', 'cease', 'craig', 'crime', 'criminality', 'delaney', 'different', 'didn', 'detention', 'detained', 'deportations', 'democratic']"
"Up Close with Bill Ritter and Liz Cho: Adriano Espillat, Mamdani-backed Darializa Avila Chevalier vie for seat in NY-13 primary",0,0,0.0,"['city', 'new', 'york', 'early', 'election', 'ends', 'sunday', 'voting', 'wabc']"
How Democratic Divisions Are Playing Out in New York,0,1,1.0,"['new', 'trump', 'house', 'york', 'democratic', 'district', 'representative', 'left', 'party', 'city', 'democrats', 'big', 'establishment', 'manhattan', 'president', 'campaign', 'candidates', 'long', 'media', 'colleague', 'republicans', 'brooklyn', 'state', 'decades', 'mayor', 'leaders', 'socialist', 'kennedy', 'seats', 'online', 'goldman', 'home', 'primary', 'independent', 'kellen', 'office', 'mamdani', 'year', 'velázquez', 'valdez', 'victory', 'platform', 'israel', 'politics', 'super', 'seat', 'jd', 'policy', 'just', 'katie', 'wing', 'runs', 'don', 'social', 'voters', 'assemblyman', 'deep', 'past', 'scattered', 'nadler', 'contests', 'republican', 'race', 'war', 'prosecutor', 'helped', 'reporting', 'reports', 'progressive', 'use', 'run', 'revive', 'rivals', 'robinson', 'includes', 'incumbent', 'anti', 'rubio', 'contributed', 'lander', 'queens', 'comments', 'challenge', 'young', 'marco', 'times', 'browning', 'old', 'term', 'vance', 'taylor', 'trying', 'bacon', 'midterm', 'clashing', 'local', 'nation', 'competitive', 'younger', 'probably', 'nydia', 'number', 'puerto', 'psyche', 'notable', 'normally', 'nomination', 'provocative', 'weeks', 'pro', 'problem', 'news', 'national', 'nebraska', 'profile', 'neighborhoods', 'propose', 'ocasio', 'profiles', 'washington', 'prompting', 'nick', 'way', 'presidential', 'opened', 'west', 'pitfall', 'pac', 'pacs', 'woes', 'palantir', 'parochial', 'wins', 'particular', 'won', 'wonk', 'path', 'paved', 'photo', 'question', 'photograph', 'ongoing', 'posts', 'plains', 'williamsburg', 'widely', 'official', 'play', 'players', 'working', 'political', 'writes', 'politicians', 'odds', 'overwhelmingly', 'population', 'positioning', 'popular', 'vacant', 'questions', 'subterfuge', 'test', 'takes', 'taken', 'tactics', 'swing', 'supremacy', 'supporters', 'successor', 'strauss', 'views', 'stopping', 'statements', 'started', 'stark', 'stage', 'video', 'spirited', 'spending', 'vice', 'tide', 'ties', 'time', 'upset', 'upended', 'unusual', 'unions', 'understand', 'underscore', 'typically', 'tweets', 'tripped', 'tries', 'transplants', 'trailblazer', 'toxic', 'viable', 'torres', 'topic', 'tire', 'speculation', 'viral', 'quite', 'representatives', 'role', 'rogers', 'rival', 'ritchie', 'rican', 'reynoso', 'retirement', 'walk', 'wants', 'son', 'regulating', 'refers', 'redistricting', 'really', 'reality', 'ratcheted', 'ranks', 'races', 'ropes', 'running', 'said', 'say', 'small', 'simply', 'sides', 'shoo', 'sharers', 'sentiment', 'senator', 'senate', 'seesawing', 'secretary', 'second', 'vulnerable', 'season', 'scion', 'schumer', 'schlossberg', 'muses', 'retire', '2016', 'movement', 'data', 'culminate', 'crisis', 'country']"
A leftward lurch? What to know about the Democratic primaries in New York,0,0,0.0,"['city', 'democratic', 'new', 'list', 'ago', 'swept', 'seven', 'slate', 'socialist', 'states', 'testing', 'populous', 'trump', 'united', 'victory', 'york', 'race', 'party', 'political', 'candidates', 'muslim', 'months', 'mayor', 'mamdani', 'leader', 'just', 'items', 'does', 'direction', 'zohran']"
House Democrat calls Trump's Maduro capture 'welcome news' as left labels it 'illegal',0,1,1.0,"['venezuela', 'trump', 'american', 'wrote', 'war', 'president', 'rep', 'congress', 'maduro', 'military', 'administration', 'said', 'people', 'actions', 'leader', 'law', 'congressional', 'illegal', 'illegitimate', 'democracy', 'state', 'donald', 'nicolás', 'consequences', 'strikes', 'constitution', 'majority', 'action', 'americans', 'hard', 'start', 'iraq', 'swalwell', 'international', 'informed', 'remain', 'strike', 'friends', 'refugees', 'statement', 'gallego', 'going', 'seen', 'far', 'house', 'democrats', 'home', 'rule', 'run', 'similar', 'scale', 'served', 'schultz', 'promise', 'schumer', 'does', 'regime', 'venezuelans', 'approval', 'offers', 'nation', 'capture', 'venezuelan', 'captured', 'carried', 'true', 'america', 'large', 'bring', 'wasserman', 'operation', 'violation', 'wife', 'just', 'vindman', 'neighbors', 'prosecutorial', 'properly', 'new', 'narco', 'putting', 'paid', 'questions', 'muted', 'ranks', 'rarely', 'rashida', 'mistakes', 'reaffirm', 'mistake', 'minority', 'mich', 'multiple', 'prices', 'priorities', 'news', 'pam', 'region', 'pardon', 'oppressed', 'passage', 'oppose', 'past', 'ongoing', 'place', 'oil', 'plan', 'offices', 'planned', 'number', 'plans', 'notify', 'position', 'praising', 'notably', 'price', 'overnight', 'night', 'prior', '04', 'seizing', 'regrows', 'treasure', 'undermined', 'unconstitutional', 'uncertainty', 'unanswered', 'truth', 'troops', 'transition', 'unprovoked', 'trafficker', 'tourismafrica2006', 'tlaib', 'throw', 'threat', 'term', 'united', 'urge', 'takes', 'way', 'york', 'wrong', 'worth', 'work', 'willing', 'welcome', 'wars', 'va', 'want', 'violent', 'violence', 'violations', 'veteran', 've', 'talk', 'swore', 'repeat', 'running', 'senate', 'sen', 'mean', 'second', 'seat', 'saturday', 'ruler', 'similarly', 'ruben', 'rogue', 'risks', 'responses', 'response', 'respect', 'significant', 'sitting', 'survives', 'started', 'surprise', 'successfully', 'subsequently', 'subsequent', 'strongly', 'states', 'spiraling', 'skyrocketing', 'sovereign', 'southern', 'sole', 'sold', 'social', 'snake', 'members', 'lawmakers', 'marine', 'convicted', 'criticized', 'critical', 'cover', 'court', 'country', 'costs', 'corps', 'continuation', 'colleagues', 'contact', 'constitutional', 'consideration', 'connection', 'conducted', 'communist', 'commit', 'cuba', 'cutting', 'damn', 'debbie', 'distract', 'disorder', 'disastrous', 'direct', 'different', 'did', 'dictatorships', 'developments', 'devastating', 'deserve', 'democratically', 'democratic', 'democrat', 'demand', 'decades', 'comes', 'clarke', 'lowest', 'aggression', 'assessment', 'ariz', 'argued', 'apparently', 'answers', 'announced', 'allegations', 'afoul', 'chuck', 'adriano', 'added', 'acts', 'act', 'accusing', 'accused', 'absence']"
New York Democrats Allowed Inside a Migrant Holding Center,0,1,1.0,"['ice', 'migrants', 'federal', 'cells', 'york', 'said', 'new', 'goldman', 'holding', 'detention', 'agency', 'access', 'immigration', 'judge', 'mr', 'lawmakers', 'congress', 'visit', 'conditions', 'held', '26', 'plaza', 'facilities', 'inside', 'floor', 'members', 'centers', 'field', 'friday', 'ordered', 'president', 'did', 'detainees', 'detained', 'limit', 'democratic', 'just', 'city', 'office', 'man', 'week', 'allow', 'detain', 'ruling', '10th', 'criminal', 'criminals', 'showing', 'daniel', 'days', 'offices', 'trump', 'washington', 'outside', 'united', 'accused', 'hundreds', 'country', 'hours', 'representative', 'reports', 'emerged', 'repeatedly', 'page', 'record', 'proper', 'people', 'political', 'floors', 'appeared', 'court', 'showers', 'year', '12', 'lawsuit', 'lawyers', 'check', 'states', 'squalid', '22', 'temporarily', 'capacity', 'blankets', 'number', 'aug', 'care', 'times', 'packed', 'visits', 'medical', 'nyc', 'percent', 'pakistani', 'visiting', 'meals', 'pace', 'photo', 'photograph', 'mass', 'points', 'manhattan', 'visited', 'metal', 'overcrowding', 'overwhelmed', 'officials', 'wife', 'workers', 'nytimes', 'november', 'notice', 'news', 'power', 'worried', 'wrote', 'wednesday', 'oversight', 'order', 'mopping', 'waited', 'months', 'overcrowded', 'minutes', 'nyregion', 'oversees', 'www', 'poor', 'told', 'violent', 'stays', 'sitting', 'sleep', 'sleeping', 'sought', 'spaces', 'span', 'spent', 'transferring', 'spick', 'spoke', 'sprawling', 'statute', 'stench', 'showed', 'subjected', 'trailed', 'summer', 'summoned', 'traditionally', 'tour', 'swiftly', 'targeting', 'technically', 'thousands', 'throng', 'time', 'shut', 'shortly', 'powers', 'reporters', 'pressure', 'violation', 'print', 'probably', 'processed', 'violating', 'video', 'prompting', 'victor', 'toilets', 'remedy', 'removed', 'request', 'security', 'respond', 'restricted', 'right', 'routine', 'ruled', 'used', 'use', 'upright', 'make', 'unannounced', 'scrutinize', 'scrutiny', 'reached', '000', 'lower', 'concerns', 'blue', 'born', 'building', 'california', 'campaign', 'changed', 'children', 'claimed', 'clearly', 'clinton', 'cobb', 'com', 'comment', 'compounds', 'concrete', 'block', 'conference', 'congressional', 'congressman', 'congressmen', 'contrary', 'courthouses', 'courts', 'cramped', 'criticized', 'customs', 'demanding', 'democrats', 'denied', 'department', 'blocked', 'biden', 'look', 'annual', '19', '1995', '2007', '2025', '60', '65', '72', '73', 'a18', 'according', 'administration', 'adriano', 'allowed', 'amid', 'appointed', 'began', 'appointee', 'argued', 'armed', 'arrest', 'arrested', 'arrests', 'arrived', 'article', 'attempt', 'august']"
