word,frequency
new,4905
trump,3551
york,3307
said,3238
people,3153
president,2706
democratic,2642
just,2498
mamdani,2482
going,2482
think,2359
know,2204
city,2119
like,2068
right,2038
israel,1895
state,1834
house,1782
video,1698
mayor,1599
democrats,1563
party,1555
time,1504
congress,1408
mr,1403
year,1368
espaillat,1330
federal,1305
don,1298
district,1289
clip,1259
american,1251
primary,1235
congressional,1214
want,1209
ve,1208
country,1174
today,1166
rep,1145
end,1123
candidates,1109
political,1108
iran,1108
say,1077
day,1020
chevalier,988
administration,963
ice,961
left,953
support,936
make,927
immigration,920
did,919
states,918
years,913
news,908
good,895
way,885
war,885
law,879
members,876
goldman,872
race,869
look,867
really,867
election,864
including,833
thank,822
government,822
yes,809
lot,800
mean,798
america,780
begin,780
got,779
lander,773
united,766
avila,764
public,762
voters,752
campaign,747
2026,743
jewish,733
republican,726
world,722
june,706
ll,704
zohran,702
national,692
work,692
money,689
long,677
governor,675
republicans,667
adriano,667
donald,665
washington,662
white,662
vote,659
enforcement,658
court,657
progressive,656
let,652
candidate,651
office,650
says,645
actually,641
oversight,636
million,628
community,620
police,615
security,610
percent,591
come,591
big,589
does,588
things,588
saying,579
member,578
far,576
department,570
tonight,567
great,566
general,566
congressman,566
doing,558
socialist,552
working,552
won,550
000,548
ms,543
democrat,537
called,535
senate,532
need,530
thing,526
endorsed,524
leader,522
week,521
running,512
told,508
second,507
question,498
seen,497
primaries,495
believe,494
detention,493
valdez,489
elections,488
group,486
manhattan,486
coming,485
races,482
power,481
tuesday,481
trying,480
win,475
media,475
committee,471
deal,464
times,464
fox,458
representative,457
family,455
real,452
politics,451
point,450
anti,446
social,441
justice,441
center,439
continue,433
leaders,432
americans,432
com,431
old,430
clear,430
elected,427
following,426
brooklyn,425
seat,424
policy,421
rights,420
10,419
officials,418
socialists,413
jeffries,412
kind,412
fight,410
military,410
according,410
making,408
dan,406
break,405
high,405
billion,403
ago,397
term,397
darializa,396
use,394
capitol,394
senator,388
case,388
israeli,387
days,381
cnn,378
night,378
secretary,377
tell,376
east,375
ny,374
act,373
future,370
different,365
didn,364
run,364
brad,363
taking,363
place,360
incumbent,360
talk,359
history,358
pro,354
home,353
talking,351
life,351
aipac,349
comes,349
used,349
backed,349
important,347
live,346
sure,346
decision,345
economic,343
help,343
little,342
early,341
care,340
attack,340
doesn,338
number,337
issue,336
getting,336
gaza,334
november,332
months,332
00,330
local,329
california,329
open,329
fact,327
host,326
jews,325
leadership,325
major,324
content,324
team,322
commercial,322
safety,321
attorney,321
12,320
person,319
caucus,319
facilities,318
course,317
action,316
voting,315
month,315
better,314
twitter,314
south,314
able,314
hochul,313
dollars,312
photo,310
health,310
report,309
forward,309
nuclear,309
change,308
job,308
endorsement,307
away,307
vance,306
families,305
nation,304
order,304
funding,302
officers,301
2025,301
project,301
information,298
post,294
watch,294
looking,293
text,293
moment,293
harlem,293
free,292
street,291
yorkers,290
statement,290
fraud,289
reynoso,288
saw,288
foreign,288
communities,286
past,286
intelligence,286
director,285
having,284
issues,284
program,283
john,282
came,282
hamas,281
held,281
voice,280
backing,280
agents,280
newstex,280
story,279
line,278
pic,278
gov,276
ahead,276
business,276
establishment,275
biden,275
palestinian,271
obviously,271
30,270
asked,270
ask,269
oil,268
recent,267
wants,266
yeah,265
later,265
13,265
middle,263
20,263
close,263
facility,262
2024,262
bring,262
tax,261
hard,261
death,261
start,261
press,261
outside,260
nearly,260
spent,260
plaque,259
representatives,258
hispanic,257
feel,256
https,251
lost,250
economy,250
democracy,249
victory,249
vice,248
agenda,248
data,248
event,247
housing,247
went,246
polls,245
antisemitism,245
sen,245
stand,244
investigation,243
knicks,242
stop,242
access,242
border,242
record,241
conduct,241
texas,241
questions,241
fund,240
earlier,240
happening,240
legal,239
love,239
university,239
homeland,239
iranian,239
took,238
building,238
sort,238
critical,237
maybe,236
obama,236
service,236
correspondent,235
based,235
west,235
young,235
set,234
dhs,234
led,234
black,234
morning,234
results,233
small,233
thursday,232
control,232
23,231
hold,231
problem,230
union,230
claire,230
ground,229
try,229
policies,229
criminal,229
kennedy,229
lead,228
executive,228
seeing,228
strait,228
spending,228
means,227
agency,227
human,226
joe,225
majority,224
oh,224
movement,224
minister,223
chief,222
man,222
children,222
groups,221
despite,221
face,221
efforts,221
force,220
lives,220
antonio,220
message,220
conditions,219
monday,218
gutfeld,218
minnesota,218
crime,218
thanks,217
facing,217
game,217
wrong,217
ensure,216
bad,216
workers,216
guy,216
votes,216
happen,215
concerns,215
wrote,215
incumbents,215
cost,215
chair,213
needs,213
challenge,213
understand,212
carolina,211
citizens,210
key,209
unidentified,209
hearing,209
announced,209
pool,209
leading,208
bartiromo,208
lower,208
supporting,208
protect,208
reported,207
